group,run,run_id,exit_status,total_tokens,input_tokens,completion_tokens,experiment_valid,verified_success,source_unchanged,rounds,mutation_calls,escape_hatch_calls,reached_diagnose,reached_edit,reached_validate,reached_review,reached_submit,format_errors,mutation_failures
1,1,ablation-group1-run1-20260802-120841,Submitted,0,0,1195,True,True,True,0,0,0,False,False,True,False,False,0,0
1,2,ablation-group1-run2-20260802-121232,Submitted,0,0,1450,True,True,True,0,0,0,False,False,True,False,False,0,0
1,3,ablation-group1-run3-20260802-121700,Submitted,0,0,1661,True,True,True,0,0,0,False,False,True,False,False,0,0
1,4,ablation-group1-run4-20260802-122107,Submitted,0,0,1643,True,True,True,0,0,0,False,False,True,False,False,0,0
1,5,ablation-group1-run5-20260802-122500,Submitted,0,0,2771,True,True,True,0,0,0,False,False,True,False,False,0,0
2,1,ablation-group2-run1-20260802-122916,TotalTokenLimitExceeded,79910,13120,1998,True,False,True,0,0,0,False,False,True,False,False,0,0
2,2,ablation-group2-run2-20260802-123301,TotalTokenLimitExceeded,69609,12816,1919,True,False,True,0,0,0,False,False,True,False,False,1,0
2,3,ablation-group2-run3-20260802-123621,Submitted,0,0,2592,True,True,True,0,0,0,False,False,True,False,False,0,0
2,4,ablation-group2-run4-20260802-124104,TotalTokenLimitExceeded,71647,13064,1880,True,False,True,0,0,0,False,False,True,False,False,0,0
2,5,ablation-group2-run5-20260802-124436,Submitted,0,0,1502,True,True,True,0,0,0,False,False,True,False,False,0,0
3,1,ablation-group3-run1-20260802-124850,Submitted,0,0,1198,True,True,True,0,0,0,False,False,True,False,False,0,0
3,2,ablation-group3-run2-20260802-125304,Submitted,0,0,1696,True,True,True,0,0,0,False,False,True,False,False,0,0
3,3,ablation-group3-run3-20260802-125726,Submitted,0,0,1878,True,True,True,0,0,0,False,False,True,False,False,0,0
3,4,ablation-group3-run4-20260802-130133,Submitted,0,0,1450,True,True,True,0,0,0,False,False,True,False,False,0,0
3,5,ablation-group3-run5-20260802-130538,Submitted,0,0,1290,True,True,True,0,0,0,False,False,True,False,False,0,0
4,1,ablation-group4-run1-20260802-130939,TotalTokenLimitExceeded,68826,19436,788,True,False,True,0,0,0,False,False,True,False,False,0,0
4,2,ablation-group4-run2-20260802-131249,TotalTokenLimitExceeded,68952,17907,936,True,False,True,0,0,0,False,False,True,False,False,0,0
4,3,ablation-group4-run3-20260802-131603,TotalTokenLimitExceeded,69510,17823,1255,True,False,True,0,0,0,False,False,True,False,False,0,0
4,4,ablation-group4-run4-20260802-131910,Submitted,0,0,1469,True,True,True,0,0,0,False,False,True,False,False,0,0
4,5,ablation-group4-run5-20260802-132313,TotalTokenLimitExceeded,72404,18349,1310,True,False,True,0,0,0,False,False,True,False,False,0,0
5,1,ablation-group5-run1-20260802-132611,NoProgressExceeded,0,0,888,True,False,True,0,0,0,False,False,True,False,False,0,0
5,2,ablation-group5-run2-20260802-132856,Submitted,0,0,1503,True,True,True,0,0,0,False,False,True,False,False,0,0
5,3,ablation-group5-run3-20260802-133300,Submitted,0,0,1256,True,True,True,0,0,0,False,False,True,False,False,0,0
5,4,ablation-group5-run4-20260802-133700,TotalTokenLimitExceeded,71645,11821,3133,True,False,True,0,0,0,False,False,True,False,False,0,0
5,5,ablation-group5-run5-20260802-134048,Submitted,0,0,1554,True,True,True,0,0,0,False,False,True,False,False,0,0
6,1,ablation-group6-run1-20260802-134502,RepeatedFormatError,0,0,640,True,False,True,0,0,0,False,False,True,False,False,3,0
6,2,ablation-group6-run2-20260802-134807,RepeatedFormatError,0,0,629,True,False,True,0,0,0,False,False,True,False,False,3,0
6,3,ablation-group6-run3-20260802-135059,RepeatedFormatError,0,0,621,True,False,True,0,0,0,False,False,True,False,False,3,0
6,4,ablation-group6-run4-20260802-135344,RepeatedFormatError,0,0,612,True,False,True,0,0,0,False,False,True,False,False,3,0
6,5,ablation-group6-run5-20260802-135627,TotalTokenLimitExceeded,58107,24118,616,True,False,True,0,0,0,False,False,True,False,False,0,0
7,1,ablation-group7-run1-20260802-135917,Submitted,0,0,1215,True,True,True,0,0,0,False,False,True,False,False,0,0
7,2,ablation-group7-run2-20260802-140326,Submitted,0,0,1501,True,True,True,0,0,0,False,False,True,False,False,0,0
7,3,ablation-group7-run3-20260802-140734,Submitted,0,0,1662,True,True,True,0,0,0,False,False,True,False,False,0,0
7,4,ablation-group7-run4-20260802-141144,Submitted,0,0,2581,True,True,True,0,0,0,False,False,True,False,False,0,0
7,5,ablation-group7-run5-20260802-141614,TotalTokenLimitExceeded,70691,12696,1912,True,False,True,0,0,0,False,False,True,False,False,0,0
