,verified_success,verified_success,verified_success,total_tokens,total_tokens,rounds,rounds,mutation_failures,format_errors,reached_edit,reached_validate
,mean,sum,count,mean,std,mean,std,mean,mean,mean,mean
group,,,,,,,,,,,
1,1.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.4,2,5,44233.2,40563.02,0.0,0.0,0.0,0.2,0.0,1.0
3,1.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,0.2,1,5,55938.4,31304.36,0.0,0.0,0.0,0.0,0.0,1.0
5,0.6,3,5,14329.0,32040.62,0.0,0.0,0.0,0.0,0.0,1.0
6,0.0,0,5,11621.4,25986.24,0.0,0.0,0.0,2.4,0.0,1.0
7,0.8,4,5,14138.2,31613.98,0.0,0.0,0.0,0.0,0.0,1.0
8,0.0,0,5,70947.2,5193.98,0.0,0.0,0.0,0.0,0.0,1.0
9,0.6,3,5,30852.2,42257.69,0.0,0.0,0.0,0.0,0.0,1.0
